STP_POS,LV_ACT,LV_PRED
16.49100113,353.734482527,355.9483947753906
16.49200058,353.163992167,361.88995361328125
16.49200058,352.719056845,367.8238525390625
16.49200058,355.504817963,373.7501220703125
16.49200058,355.488008499,379.6687316894531
16.49200058,355.070645809,385.5797119140625
16.49200058,355.519426823,391.4830322265625
16.49300003,356.110627651,397.3795471191406
16.49300003,354.946652889,403.2684326171875
16.49300003,355.135743618,409.149658203125
16.49400139,358.068350792,415.0240783691406
16.50699997,356.995196819,420.90142822265625
16.5170002,357.262831688,426.7792663574219
16.59200096,358.562269211,432.7102966308594
17.21900177,359.768212318,439.1418762207031
17.21600151,359.547177315,445.56158447265625
17.21600151,360.35426903,451.97186279296875
17.21600151,361.84202957,458.37274169921875
17.21600151,362.10792732,464.7641906738281
17.21700096,362.02246666,471.14703369140625
17.21800041,362.09654713,477.5212707519531
17.22000122,358.982129097,483.8876953125
17.22200012,358.675897598,490.2463073730469
17.22300148,361.52234173,496.5962829589844
17.29300117,362.26961422,502.9927673339844
17.31300163,361.41368103,509.3956298828125
17.35100174,360.59164906,515.819091796875
17.59800148,360.06245899,522.4292602539062
17.59800148,361.17194557,529.0289916992188
17.74900055,362.35458565,535.738037109375
17.7650013,363.47917557,542.4489135742188
17.81300163,362.02256203,549.1868896484375
18.93400002,361.5176096,556.79833984375
20.09900093,362.52752876,565.3128051757812
20.05600166,363.53845024,573.7750854492188
19.94900131,365.25399876,582.1351928710938
19.83100128,367.11170769,590.3850708007812
19.81000137,367.25505447,598.6011352539062
19.79400063,366.44901657,606.787353515625
19.79300117,368.3639698,614.9555053710938
19.79200172,369.81011391,623.1055908203125
19.79200172,370.10257149,631.2384033203125
19.79200172,370.41645622,639.3539428710938
19.79200172,369.62653923,647.4522094726562
19.79200172,370.73483086,655.533203125
19.79200172,372.8559761,663.5969848632812
19.79300117,373.91633987,671.644287109375
19.79700089,374.76996613,679.6773681640625
19.79700089,374.33386993,687.6931762695312
19.79700089,374.01305962,695.6917724609375
19.79800034,373.7602787,703.6738891601562
19.79800034,374.00600052,711.6387329101562
19.80200005,375.20494461,719.58935546875
19.80200005,375.98213196,727.5227661132812
19.80400085,376.37690544,735.4404296875
19.80600166,376.4801693,743.3423461914062
19.81200027,376.78800774,751.2315063476562
19.81500053,377.72389412,759.1056518554688
19.82500076,377.80511856,766.9700317382812
19.83600044,378.4220562,774.8253173828125
19.85000038,379.73313141,782.6737060546875
20.04000092,380.20443153,790.6455688476562
20.11200142,379.96051979,798.6526489257812
20.11400032,379.39920616,806.6428833007812
20.11900139,380.03347778,814.6185302734375
20.1570015,381.26660156,822.603759765625
20.16100121,381.81780624,830.573486328125
20.16400146,382.12127304,838.5269775390625
20.18700027,381.40787888,846.478759765625
20.32300186,381.33860588,854.510986328125
20.32500076,381.59820175,862.525634765625
20.32600021,382.00181198,870.5220336914062
20.32500076,382.87555313,878.4986572265625
20.32600021,384.34206009,886.4569702148438
20.32600021,385.08174896,894.3963012695312
20.32700157,385.01528931,902.3173217773438
20.32800102,385.9396286,910.2200927734375
20.33000183,386.37371063,918.1052856445312
20.33000183,386.00662613,925.9714965820312
20.33000183,386.93722534,933.8187255859375
20.36500168,387.42261887,941.6717529296875
20.91700172,388.04081726,949.8960571289062
20.91700172,388.89297867,958.09912109375
20.91800117,389.27342987,966.2816772460938
20.91800117,390.27797699,974.4430541992188
21.03300095,390.14036179,982.6636962890625
21.41300011,389.60560989,991.1279907226562
21.41400146,391.48437881,999.56982421875
21.41600037,392.64728928,1007.9898681640625
21.41700172,393.11799622,1016.387451171875
21.41800117,393.88186645999997,1024.7625732421875
21.41800117,394.24055862,1033.114501953125
21.41900063,394.91359711,1041.444091796875
21.42500114,395.54545975,1049.754638671875
21.79800034,396.78287888,1058.296630859375
22.09400177,396.64835739,1067.0155029296875
22.09600067,396.63084412,1075.709716796875
22.09600067,397.59791183,1084.3780517578125
22.09700012,398.27528381,1093.0211181640625
22.09800148,399.53108215,1101.638916015625
22.12600136,400.3575058,1110.24951171875
22.27400017,400.87205124,1118.93310546875
22.28000069,401.65458298,1127.593994140625
22.28100014,401.71796417,1136.2288818359375
22.30800056,403.11257935,1144.85498046875
22.31600189,403.81710052,1153.45947265625
22.3220005,404.93127823,1162.0411376953125
22.33000183,405.85765839,1170.6011962890625
22.34300041,405.60160446,1179.1429443359375
22.34400177,405.41041946,1187.658447265625
22.34400177,404.6957016,1196.1470947265625
22.34500122,404.51195144999997,1204.6094970703125
22.34500122,404.75729752,1213.0450439453125
22.34500122,405.21064758,1221.4537353515625
22.34500122,406.21838379,1229.8355712890625
22.854002,406.62113571,1238.5162353515625
22.86900139,407.18435287,1247.1773681640625
22.86900139,408.02403641,1255.809326171875
22.86800194,408.82666016,1264.4114990234375
22.86900139,409.83866882,1272.9852294921875
22.86900139,410.59936523,1281.52978515625
22.86900139,411.72444153,1290.0452880859375